PERMNO,date,TICKER,PRC
16289,2017/12/13,FINX,21.77670
16289,2017/12/14,FINX,21.85000
16289,2017/12/15,FINX,21.98400
16289,2017/12/18,FINX,22.13000
16289,2017/12/19,FINX,22.09000
16289,2017/12/20,FINX,21.94500
16289,2017/12/21,FINX,22.03000
16289,2017/12/22,FINX,21.96020
16289,2017/12/26,FINX,21.97000
16289,2017/12/27,FINX,21.95000
16289,2017/12/28,FINX,21.97000
16289,2017/12/29,FINX,21.95000
16289,2018/01/02,FINX,22.12600
16289,2018/01/03,FINX,22.36000
16289,2018/01/04,FINX,22.54000
16289,2018/01/05,FINX,22.95000
16289,2018/01/08,FINX,22.99000
16289,2018/01/09,FINX,23.12000
16289,2018/01/10,FINX,23.22000
16289,2018/01/11,FINX,23.49000
16289,2018/01/12,FINX,23.54000
16289,2018/01/16,FINX,23.27000
16289,2018/01/17,FINX,23.62000
16289,2018/01/18,FINX,23.51000
16289,2018/01/19,FINX,23.82500
16289,2018/01/22,FINX,24.00000
16289,2018/01/23,FINX,24.00000
16289,2018/01/24,FINX,23.84000
16289,2018/01/25,FINX,24.06000
16289,2018/01/26,FINX,24.20000
16289,2018/01/29,FINX,24.00000
16289,2018/01/30,FINX,23.88000
16289,2018/01/31,FINX,23.98000
16289,2018/02/01,FINX,23.68500
16289,2018/02/02,FINX,23.09000
16289,2018/02/05,FINX,22.37000
16289,2018/02/06,FINX,22.42000
16289,2018/02/07,FINX,22.57000
16289,2018/02/08,FINX,21.91000
16289,2018/02/09,FINX,22.11000
16289,2018/02/12,FINX,22.43000
16289,2018/02/13,FINX,22.55080
16289,2018/02/14,FINX,23.04000
16289,2018/02/15,FINX,23.49000
16289,2018/02/16,FINX,23.58000
16289,2018/02/20,FINX,23.60000
16289,2018/02/21,FINX,23.48000
16289,2018/02/22,FINX,23.15990
16289,2018/02/23,FINX,23.19500
16289,2018/02/26,FINX,23.65000
16289,2018/02/27,FINX,23.28000
16289,2018/02/28,FINX,23.10000
16289,2018/03/01,FINX,22.84000
16289,2018/03/02,FINX,23.11320
16289,2018/03/05,FINX,23.62000
16289,2018/03/06,FINX,23.62280
16289,2018/03/07,FINX,23.84500
16289,2018/03/08,FINX,23.82000
16289,2018/03/09,FINX,24.20000
16289,2018/03/12,FINX,24.39000
16289,2018/03/13,FINX,24.20000
16289,2018/03/14,FINX,24.49000
16289,2018/03/15,FINX,24.49000
16289,2018/03/16,FINX,24.42000
16289,2018/03/19,FINX,24.17000
16289,2018/03/20,FINX,24.60000
16289,2018/03/21,FINX,24.49000
16289,2018/03/22,FINX,23.87000
16289,2018/03/23,FINX,23.35000
16289,2018/03/26,FINX,23.83000
16289,2018/03/27,FINX,23.39000
16289,2018/03/28,FINX,23.03000
16289,2018/03/29,FINX,23.38000
16289,2018/04/02,FINX,22.97000
16289,2018/04/03,FINX,22.80000
16289,2018/04/04,FINX,22.85000
16289,2018/04/05,FINX,23.15000
16289,2018/04/06,FINX,22.72000
16289,2018/04/09,FINX,22.96000
16289,2018/04/10,FINX,23.34000
16289,2018/04/11,FINX,23.16000
16289,2018/04/12,FINX,23.48000
16289,2018/04/13,FINX,23.29000
16289,2018/04/16,FINX,23.40000
16289,2018/04/17,FINX,23.86000
16289,2018/04/18,FINX,24.11000
16289,2018/04/19,FINX,24.02000
16289,2018/04/20,FINX,23.89000
16289,2018/04/23,FINX,23.89930
16289,2018/04/24,FINX,23.53000
16289,2018/04/25,FINX,23.16000
16289,2018/04/26,FINX,23.40000
16289,2018/04/27,FINX,23.46990
16289,2018/04/30,FINX,23.60000
16289,2018/05/01,FINX,23.77000
16289,2018/05/02,FINX,23.73000
16289,2018/05/03,FINX,23.91000
16289,2018/05/04,FINX,24.10490
16289,2018/05/07,FINX,24.40000
16289,2018/05/08,FINX,24.60000
16289,2018/05/09,FINX,24.90000
16289,2018/05/10,FINX,25.19000
16289,2018/05/11,FINX,25.20000
16289,2018/05/14,FINX,25.04000
16289,2018/05/15,FINX,25.05000
16289,2018/05/16,FINX,25.28000
16289,2018/05/17,FINX,25.36000
16289,2018/05/18,FINX,25.59000
16289,2018/05/21,FINX,25.68000
16289,2018/05/22,FINX,25.31800
16289,2018/05/23,FINX,25.45000
16289,2018/05/24,FINX,25.56000
16289,2018/05/25,FINX,25.64000
16289,2018/05/29,FINX,25.51000
16289,2018/05/30,FINX,25.75470
16289,2018/05/31,FINX,25.62000
16289,2018/06/01,FINX,25.73000
16289,2018/06/04,FINX,26.16000
16289,2018/06/05,FINX,26.39000
16289,2018/06/06,FINX,26.74000
16289,2018/06/07,FINX,26.17000
16289,2018/06/08,FINX,26.56000
16289,2018/06/11,FINX,26.58000
16289,2018/06/12,FINX,26.88000
16289,2018/06/13,FINX,26.98000
16289,2018/06/14,FINX,27.26900
16289,2018/06/15,FINX,27.13000
16289,2018/06/18,FINX,27.24000
