Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
12/13/2017,16678.28749,1261339,1.44E+19,4260525,343760084,6.83E+21,604.2979452,4452726,119.169998,38.040001,15.15,266.75,127.330002,24.309999,2.886078238,100
12/14/2017,16246.13875,1283917,1.47E+19,4258212.5,344560264,6.83E+21,644.6079443,4451975.143,118.93,37.869999,15.02,265.660004,127.870003,24.33,2.886078238,100
12/15/2017,17221.65125,1179692,1.33E+19,4256100,345219615,6.83E+21,592.7039343,4451224.286,119.18,37.82,15.15,266.51001,128.350006,24.43,2.886078238,100
12/16/2017,17436.5975,1136353,1.35E+19,4253962.5,345798332,6.83E+21,534.0113834,4450473.429,119.18,37.82,15.15,266.51001,128.350006,24.43,2.886078238,100
12/17/2017,19166.97874,1176087,1.47E+19,4251650,346423413,6.83E+21,535.4386753,4449722.571,119.18,37.82,15.15,266.51001,128.350006,24.43,2.886078238,100
12/18/2017,18640.2625,1197815,1.52E+19,4249375,347070500,8.04E+21,587.1254837,4448971.714,119.730003,38.130001,15.22,268.200012,127.18,24.370001,2.886078238,100
12/19/2017,18984.7675,1048067,1.31E+19,4247625,347707329,8.04E+21,662.5955054,4448220.857,119.82,37.959999,15.22,267.170013,125.529999,24.299999,2.886078238,100
12/20/2017,16862.57125,1025876,1.27E+19,4245925,348315584,8.04E+21,911.5917428,4447470,120.139999,38.529999,15.25,267.029999,124.139999,24.27,2.886078238,100
12/21/2017,16925.0175,1002339,1.22E+19,4244275,348892174,8.04E+21,1128.76167,4447642.857,120.309998,39.380001,15.22,267.579987,124.599998,24.26,2.886078238,100
12/22/2017,14182.46499,1112359,1.45E+19,4242337.5,349505532,8.04E+21,1495.946477,4447815.714,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100
12/23/2017,14694.5825,980565,1.29E+19,4240600,349988481,8.04E+21,1065.615595,4447988.571,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100
12/24/2017,14103.21875,1023755,1.42E+19,4238700,350406534,8.04E+21,881.1213628,4448161.429,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100
12/25/2017,13387.34875,879892,1.25E+19,4237012.5,350753932,8.04E+21,689.394412,4448334.286,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100
12/26/2017,14652.3675,912381,1.33E+19,4235237.5,351145924,8.04E+21,725.6238182,4448507.143,121.769997,39.84,15.59,267.190002,125.139999,24.25,2.886078238,100
12/27/2017,15846.07375,1032410,1.45E+19,4233287.5,351654124,8.04E+21,784.8171235,4448680,122.230003,39.66,15.73,267.320007,126.769997,24.200001,2.886078238,100
12/28/2017,14362.40375,1003647,1.39E+19,4231425,352150397,8.04E+21,785.8338917,4447971.143,122.849998,39.740002,15.88,267.869995,126.660004,24.129999,2.886078238,100
12/29/2017,14867.5725,1094021,1.54E+19,4229362.5,352713531,8.04E+21,785.7950496,4447262.286,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.886078238,100
12/30/2017,13643.695,1009178,1.35E+19,4227525,353262140,8.04E+21,778.5711097,4446553.429,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.886078238,100
12/31/2017,13062.145,1007300,1.53E+19,4225487.5,353703286,8.04E+21,545.1445262,4445844.571,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.886078238,100
1/1/2018,13439.4175,966701,1.49E+19,4223537.5,354079681,8.29E+21,469.4130365,4445135.714,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.963354082,54
1/2/2018,13337.62125,1142465,1.64E+19,4221400,354644463,8.29E+21,649.1649763,4444426.857,125.150002,40.32,16.209999,268.769989,125.489998,23.93,2.963354082,54
1/3/2018,14881.545,1132590,1.50E+19,4219437.5,355294816,8.29E+21,749.6854726,4443718,124.82,40.91,16.17,270.470001,126.089996,24.02,2.963354082,54
1/4/2018,15104.45,1253391,1.61E+19,4217337.5,356000318,8.29E+21,778.2610948,4444052.857,125.459999,41.139999,16.23,271.609985,126.07,23.940001,2.963354082,54
1/5/2018,14953.8525,1068521,1.37E+19,4215550,356593075,8.29E+21,701.3560209,4444387.714,125.330002,41.110001,16.219999,273.420013,125.709999,23.959999,2.963354082,54
1/6/2018,16576.69625,1171151,1.62E+19,4213450,357182785,8.29E+21,694.4779056,4444722.571,125.330002,41.110001,16.219999,273.420013,125.709999,23.959999,2.963354082,54
1/7/2018,16735.10625,1127763,1.56E+19,4211425,357803885,8.29E+21,686.1140025,4445057.429,125.330002,41.110001,16.219999,273.420013,125.709999,23.959999,2.963354082,54
1/8/2018,15632.41125,1158246,1.59E+19,4209350,358382276,8.29E+21,694.5264055,4445392.286,125.309998,41.360001,16.15,273.920013,125.629997,24.07,2.963354082,54
1/9/2018,15242.93625,1150316,1.58E+19,4207300,358999482,8.29E+21,752.4182028,4445727.143,124.730003,41.240002,16.030001,274.540009,123.949997,24.120001,2.963354082,54
1/10/2018,14122.825,1125366,1.59E+19,4205225,359583062,8.29E+21,720.3257009,4446062,125.029999,41.18,16.02,274.119995,123.800003,24.059999,2.963354082,54
