Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,FINX,QQQ,RIOT,Open_Interest_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All
2017-12-13,16678.28749,1261339.0,1.44197119364369e+19,4260525.0,343760084.0,6.83285027388034e+21,604.2979452000002,4452726.0,119.169998,38.040001,15.15,266.75,127.330002,24.309999,2.886078238,100.0,21.7767,155.99001,23.03,2821.0,964.0,2335.0,1857.0,486.0
2017-12-14,16246.13875,1283917.0,1.46929352767875e+19,4258212.5,344560264.0,6.83285027388034e+21,644.60794431,4451975.142857143,118.93,37.869999,15.02,265.660004,127.870003,24.33,2.886078238,100.0,21.85,155.88,24.98,2821.0,964.0,2335.0,1857.0,486.0
2017-12-15,17221.65125,1179692.0,1.33401688533742e+19,4256100.0,345219615.0,6.83285027388034e+21,592.70393429,4451224.285714285,119.18,37.82,15.15,266.51001,128.350006,24.43,2.886078238,100.0,21.984,157.64999,28.5,2821.0,964.0,2335.0,1857.0,486.0
2017-12-16,17436.5975,1136353.0,1.35459260437945e+19,4253962.5,345798332.0,6.83285027388034e+21,534.01138337,4450473.428571428,119.18,37.82,15.15,266.51001,128.350006,24.43,2.886078238,100.0,21.984,157.64999,28.5,2821.0,964.0,2335.0,1857.0,486.0
2017-12-17,19166.97874,1176087.0,1.46934476423092e+19,4251650.0,346423413.0,6.83285027388034e+21,535.43867532,4449722.571428572,119.18,37.82,15.15,266.51001,128.350006,24.43,2.886078238,100.0,21.984,157.64999,28.5,2821.0,964.0,2335.0,1857.0,486.0
2017-12-18,18640.2625,1197815.0,1.52472432176447e+19,4249375.0,347070500.0,8.04492675803536e+21,587.12548366,4448971.714285715,119.730003,38.130001,15.22,268.200012,127.18,24.370001,2.886078238,100.0,22.13,158.64,36.47,2821.0,964.0,2335.0,1857.0,486.0
2017-12-19,18984.7675,1048067.0,1.3105840793653e+19,4247625.0,347707329.0,8.04492675803536e+21,662.59550536,4448220.857142857,119.82,37.959999,15.22,267.170013,125.529999,24.299999,2.886078238,100.0,22.09,157.7,38.6,2821.0,964.0,2335.0,1857.0,486.0
2017-12-20,16862.57125,1025876.0,1.26870989481761e+19,4245925.0,348315584.0,8.04492675803536e+21,911.59174277,4447470.0,120.139999,38.529999,15.25,267.02999900000003,124.139999,24.27,2.886078238,100.0,21.945,157.53,36.12,2821.0,964.0,2335.0,1857.0,486.0
2017-12-21,16925.0175,1002339.0,1.21583010700541e+19,4244275.0,348892174.0,8.04492675803536e+21,1128.76167038,4447642.857142857,120.309998,39.380001,15.22,267.579987,124.599998,24.26,2.886078238,100.0,22.03,157.55,27.6,2821.0,964.0,2335.0,1857.0,486.0
2017-12-22,14182.46499,1112359.0,1.45064931827439e+19,4242337.5,349505532.0,8.04492675803536e+21,1495.94647734,4447815.714285715,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100.0,21.9602,157.37,24.52,2821.0,964.0,2335.0,1857.0,486.0
2017-12-23,14694.5825,980565.0,1.29245480214851e+19,4240600.0,349988481.0,8.04492675803536e+21,1065.61559484,4447988.571428572,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100.0,21.9602,157.37,24.52,2821.0,964.0,2335.0,1857.0,486.0
2017-12-24,14103.21875,1023755.0,1.42143124008622e+19,4238700.0,350406534.0,8.04492675803536e+21,881.12136284,4448161.428571428,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100.0,21.9602,157.37,24.52,2821.0,964.0,2335.0,1857.0,486.0
2017-12-25,13387.34875,879892.0,1.24757634610101e+19,4237012.5,350753932.0,8.04492675803536e+21,689.39441204,4448334.285714285,120.940002,39.48,15.4,267.51001,124.769997,24.27,2.886078238,100.0,21.9602,157.37,24.52,2821.0,964.0,2335.0,1857.0,486.0
2017-12-26,14652.3675,912381.0,1.33405689419962e+19,4235237.5,351145924.0,8.04492675803536e+21,725.62381816,4448507.142857143,121.769997,39.84,15.59,267.190002,125.139999,24.25,2.886078238,100.0,21.97,156.52,31.22,3737.0,1349.0,3150.0,2388.0,587.0
2017-12-27,15846.07375,1032410.0,1.44793088542793e+19,4233287.5,351654124.0,8.04492675803536e+21,784.81712352,4448680.0,122.230003,39.66,15.73,267.320007,126.769997,24.200001,2.886078238,100.0,21.95,156.53999,29.8,3737.0,1349.0,3150.0,2388.0,587.0
2017-12-28,14362.40375,1003647.0,1.38945194439298e+19,4231425.0,352150397.0,8.04492675803536e+21,785.83389168,4447971.142857143,122.849998,39.740002,15.88,267.869995,126.660004,24.129999,2.886078238,100.0,21.97,156.73,27.23,3737.0,1349.0,3150.0,2388.0,587.0
2017-12-29,14867.5725,1094021.0,1.54458100427721e+19,4229362.5,352713531.0,8.04492675803536e+21,785.79504963,4447262.285714285,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.886078238,100.0,21.95,155.75999,28.4,3737.0,1349.0,3150.0,2388.0,587.0
2017-12-30,13643.695,1009178.0,1.34963506965123e+19,4227525.0,353262140.0,8.04492675803536e+21,778.5711097,4446553.428571428,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.886078238,100.0,21.95,155.75999,28.4,3737.0,1349.0,3150.0,2388.0,587.0
2017-12-31,13062.145,1007300.0,1.5280279912836e+19,4225487.5,353703286.0,8.04492675803536e+21,545.14452622,4445844.571428572,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.886078238,100.0,21.95,155.75999,28.4,3737.0,1349.0,3150.0,2388.0,587.0
2018-01-01,13439.4175,966701.0,1.48512959766972e+19,4223537.5,354079681.0,8.29416791613813e+21,469.41303646,4445135.714285715,123.650002,39.650002,15.99,266.859985,126.860001,24.030001,2.963354082,54.0,21.95,155.75999,28.4,3737.0,1349.0,3150.0,2388.0,587.0
2018-01-02,13337.62125,1142465.0,1.64433268446637e+19,4221400.0,354644463.0,8.29416791613813e+21,649.16497626,4444426.857142857,125.150002,40.32,16.209999,268.769989,125.489998,23.93,2.963354082,54.0,22.126,158.49001,27.9,4065.0,1727.0,3415.0,2338.0,650.0
2018-01-03,14881.545,1132590.0,1.49717664968921e+19,4219437.5,355294816.0,8.29416791613813e+21,749.68547259,4443718.0,124.82,40.91,16.17,270.470001,126.089996,24.02,2.963354082,54.0,22.36,160.03,24.36,4065.0,1727.0,3415.0,2338.0,650.0
2018-01-04,15104.45,1253391.0,1.61335241051223e+19,4217337.5,356000318.0,8.29416791613813e+21,778.26109477,4444052.857142857,125.459999,41.139999,16.23,271.609985,126.07,23.940001,2.963354082,54.0,22.54,160.31,24.27,4065.0,1727.0,3415.0,2338.0,650.0
2018-01-05,14953.8525,1068521.0,1.37241213117928e+19,4215550.0,356593075.0,8.29416791613813e+21,701.35602085,4444387.714285715,125.330002,41.110001,16.219998999999998,273.420013,125.709999,23.959999,2.963354082,54.0,22.95,161.92,24.43,4065.0,1727.0,3415.0,2338.0,650.0
2018-01-06,16576.69625,1171151.0,1.62036910704375e+19,4213450.0,357182785.0,8.29416791613813e+21,694.47790564,4444722.571428572,125.330002,41.110001,16.219998999999998,273.420013,125.709999,23.959999,2.963354082,54.0,22.95,161.92,24.43,4065.0,1727.0,3415.0,2338.0,650.0
2018-01-07,16735.10625,1127763.0,1.55546253593228e+19,4211425.0,357803885.0,8.29416791613813e+21,686.11400249,4445057.428571428,125.330002,41.110001,16.219998999999998,273.420013,125.709999,23.959999,2.963354082,54.0,22.95,161.92,24.43,4065.0,1727.0,3415.0,2338.0,650.0
2018-01-08,15632.41125,1158246.0,1.5905179623161e+19,4209350.0,358382276.0,8.29416791613813e+21,694.5264055,4445392.285714285,125.309998,41.360001,16.15,273.920013,125.629997,24.07,2.963354082,54.0,22.99,162.55,23.42,4065.0,1727.0,3415.0,2338.0,650.0
2018-01-09,15242.93625,1150316.0,1.57541351630337e+19,4207300.0,358999482.0,8.29416791613813e+21,752.4182028,4445727.142857143,124.730003,41.240002,16.030001000000002,274.540009,123.949997,24.120001,2.963354082,54.0,23.12,162.56,24.02,4624.0,2073.0,3980.0,2551.0,644.0
2018-01-10,14122.825,1125366.0,1.59364763479244e+19,4205225.0,359583062.0,8.29416791613813e+21,720.32570087,4446062.0,125.029999,41.18,16.02,274.119995,123.800003,24.059999,2.963354082,54.0,23.22,162.17999,22.94,4624.0,2073.0,3980.0,2551.0,644.0
2018-01-11,13269.5975,1223960.0,1.84652894512079e+19,4202812.5,360134883.0,8.29416791613813e+21,697.44083354,4445073.857142857,125.440002,42.02,16.01,276.119995,124.309998,23.959999,2.963354082,54.0,23.49,163.28999,20.85,4624.0,2073.0,3980.0,2551.0,644.0
